"priority","document","id","grade","page","categories","warnings","source_pdf","text"
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.33","A","17","Acute emergency risk; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","very-long","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Educate individuals with diabetes who are at risk for developing diabetic ketoacidosis and/or follow a ketogenic eating pattern and who are treated with SGLT inhibitors on the risks and signs of ketoacidosis and methods of risk mitigation management, and provide them with appropriate tools for accurate ketone measurement (i.e., serum b-hydroxybutyrate). E Therapeutic Strategies With Medication Unavailability Health care professionals and people with diabetes struggle when medication supplies are insufficient to meet the demand. Recent examples of such circumstances include recalls involving a number of metformin products and the marked increase in demand for agents from the GLP-1 RA and dual GIP and GLP-1 RA classes. The latter circumstance led to such a low level of availability that products were determined by the FDA to be in shortage (204). To assist with supply of medications during the time they are in shortage (as signaled by their inclusion on the FDA Drug Shortages Database), compounding pharmacies and outsourcing compounding facilities are allowed to make copies, or products that are essentially duplicates of the marketed FDA-approved product (205)."
"critical-review","10. Cardiovascular Disease and Risk Management","10.34","A","14","CKD and renal dosing; Cardiovascular disease and BP/lipids; Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","very-long","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Statin plus niacin combination therapy has not been shown to provide additional cardiovascular benefit above statin therapy alone, may increase the risk of stroke with additional side effects, and is generally not recommended. A Statin and Fibrate Combination Therapy Combination therapy (statin and fibrate) is associated with an increased risk for abnormal transaminase levels, myositis, and rhabdomyolysis. The risk of rhabdomyolysis is more common with higher doses of statins and renal insufficiency and appears to be higher when statins are combined with gemfibrozil (compared with fenofibrate) (158). In the ACCORD study, in people with type 2 diabetes who were at high risk for ASCVD, the combination of fenofibrate and simvastatin did not reduce the rate of fatal cardiovascular events, nonfatal MI, or nonfatal stroke compared with simvastatin alone. Prespecified subgroup analyses suggested heterogeneity in treatment effects with possible benefit for men with both a triglyceride level ≥204 mg/dL (≥2.3 mmol/L) and an HDL cholesterol level ≤34 mg/dL (≤0.9 mmol/L) (159). Statin and Niacin Combination Therapy Large clinical trials, including the Atherothrombosis Intervention in Metabolic Syndrome With Low HDL/High Triglycerides: Impact on Global Health Outcomes (AIM-HIGH) and Heart Protection Study 2– Treatment of HDL to Reduce the Incidence of Vascular Events (HPS2-THRIVE) trials, failed to demonstrate a benefit of adding niacin to individuals on appropriate statin therapy. In fact, there was a possible increased risk of ischemic stroke in the AIMHIGH trial (160) and an increased incidence of new-onset diabetes (absolute excess, 1.3 percentage points; P < 0.001) and disturbances in diabetes management among those with diabetes in the HPS2-THRIVE trial in those on combination therapy (161). Therefore, combination therapy with a statin and niacin is not recommended, given the lack of efficacy on major ASCVD outcomes and increased side effects. Diabetes Risk With Statin Use Several studies have reported a modestly increased risk of incident type 2 diabetes with statin use (162,163), which may be limited to those with diabetes risk factors. An analysis of one of the initial studies suggested that although statin use was associated with diabetes risk, the cardiovascular event rate reduction with statins far outweighed the risk of incident diabetes, even for individuals at highest risk for diabetes (164). The absolute risk increase was small (over 5 years of follow-up, 1.2% of participants on placebo developed diabetes and 1.5% on rosuvastatin developed diabetes) (164)."
"critical-review","12. Retinopathy, Neuropathy, and Foot Care","12.2","A","1","CKD and renal dosing; Cardiovascular disease and BP/lipids; Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","very-long","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","Implement strategies to help people with diabetes reach blood pressure and lipid goals to reduce the risk or slow the progression of diabetic retinopathy. A Diabetic retinopathy is a highly specific neurovascular complication of both type 1 and type 2 diabetes, with prevalence strongly related to both the duration of diabetes and the level of glycemic management (1). Diabetic retinopathy is the most frequent cause of new cases of blindness among adults aged 20–74 years in developed countries. Glaucoma, cataracts, and other eye disorders occur earlier and more frequently in people with diabetes. In addition to diabetes duration, factors that increase the risk of, or are associated with, retinopathy include chronic hyperglycemia (2,3), nephropathy (4), hypertension (5), and dyslipidemia (6–8). Intensive diabetes management with the goal of achieving near-normoglycemia has been shown in large prospective randomized studies to prevent and/or delay the onset and progression of diabetic retinopathy, reduce the need for future ocular surgical procedures, and potentially improve self-reported visual function (2,6,9–11)."
"critical-review","14. Children and Adolescents","14.108","A","17","Acute emergency risk; Children and adolescents; Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability","very-long","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Pediatric diabetes specialists should partner with youth with diabetes and their caregivers to engage in shared decision-making for the timing of transfer to an adult diabetes specialist. There is no age-specific cutoff for youth with diabetes to transfer to an adult diabetes specialist. E Care and close supervision of diabetes management are increasingly shifted from parents and other adults to the youth with type 1 or type 2 diabetes throughout childhood and adolescence.The shift from pediatric to adult health care professionals, however, often occurs abruptly as the older teen enters the next developmental stage, referred to as emerging adulthood (248), which is a critical period for young people who have diabetes. During this period of major life transitions, youth may begin to move out of their parents’ or caregivers’ homes and become increasingly responsible for their diabetes care. Their new responsibilities include self-management of their diabetes, making medical appointments, and financing health care once they are no longer covered by their parents’ health insurance plans (ongoing coverage until age 26 years is currently available under provisions of the U.S. Affordable Care Act). In addition to lapses in health care, this is also a period associated with deterioration in glycemic stability; increased occurrence of acute complications; psychosocial, emotional, and behavioral challenges; and the emergence of chronic complications (249,250). The transfer period from pediatric to adult care is prone to fragmentation in health care delivery, which may adversely impact health care quality, cost, and outcomes (251). Worsening diabetes health outcomes during the transition to adult care and early adulthood have been documented (252,253). Comprehensive and coordinated planning that begins in early adolescence is necessary to facilitate a seamless transition from pediatric to adult health care (249, 254). Research on effective interventions to promote successful transition to adult care is limited, although there are promising developments that may improve attendance at follow-up appointments and lower hospitalizations (255,256). Use of transition coordinators, technology to support communication with young adults, and other interventions may be useful in addressing the identified needs and preferences of young adults for transition (257) and in supporting successful establishment in adult care settings (258–261). Given the behavioral, psychosocial, and developmental factors that relate to this transition, diabetes care teams addressing transition should include physicians, certified diabetes care and education specialists, nurses, behavioral health professionals, registered dietitian nutritionists, and social workers (50,262). Resources to enhance social and peer support during the transition process may also be valuable (263)."
"critical-review","16. Diabetes Care in the Hospital","16.10","A","4","Acute emergency risk; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Procedures, surgery, technology, or devices","hyphenation-fragments; very-long","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","For most individuals, sole use of a correction or supplemental insulin without basal insulin (formerly referred to as a sliding scale) in the inpatient setting is discouraged. A Critical Care Setting Continuous intravenous insulin infusion is the most effective method for achieving specific glycemic goals and avoiding hypoglycemia in the critical care setting. Intravenous insulin infusions should be administered using validated written or computerized protocols that allow for predefined adjustments in the insulin infusion rate based on glycemic fluctuations and immediate past and current insulin infusion rates (52). For diabetic ketoacidosis (DKA) and hyperglycemic hyperosmolar state (HHS) management, continuous intravenous insulin infusion is given for correction of hyperglycemia, hyperketonemia, and acid-base disorder following a fixed-rate intravenous insulin infusion (53) or nurse-driven protocol with a variable rate based on glucose values (54). Individuals with mild and uncomplicated DKA can be managed with subcutaneous rapid-acting insulin doses given every 1–2 h (55). Noncritical Care Setting In most instances, insulin is the preferred treatment for hyperglycemia in hospitalized individuals. In certain circumstances, it may be appropriate to continue home oral glucose-lowering medications or initiate use of agents such as dipeptidyl peptidase 4 inhibitors (DPP-4i) (2,50). Several reports indicate that inpatient use of insulin pens is safe and may improve nurse satisfaction when safety protocols, including nursing education, are in place to guarantee single-person use (56–58). Outside of critical care units, scheduled subcutaneous insulin orders are recommended for the management of hyperglycemia in people with diabetes and hyperglycemia. Use of insulin analogs or human insulin results in similar glycemic outcomes in the hospital setting, but regular insulin may increase the risk of hypoglycemic events (59).The use of subcutaneous rapid- or short-acting insulin before meals, or every 4–6 h if no meals are given or if the individual is receiving continuous enteral or parenteral nutrition, is indicated to correct or prevent hyperglycemia. Basal insulin, or a basal plus bolus correction schedule, is the preferred treatment for noncritically ill hospitalized individuals with inadequate or restricted oral intake. An insulin schedule with basal, prandial, and correction components is the preferred treatment for most noncritically ill hospitalized people with diabetes with adequate nutritional intake. A randomized controlled trial has shown that basal plus bolus treatment improved glycemic outcomes and reduced hospital complications compared with a correction or supplemental insulin without basal insulin (formerly known as sliding scale) for people with type 2 diabetes admitted for general surgery (60). Prolonged use of correction or supplemental insulin without basal insulin is strongly discouraged in the inpatient setting, with the exception of that for people with type 2 diabetes in noncritical care with mild hyperglycemia or stress hyperglycemia (61,62). A prospective randomized inpatient study of 70/30 intermediate-acting (NPH)/ regular insulin mixture versus basalbolus therapy showed comparable glycemic outcomes but significantly increased hypoglycemia in the group receiving the insulin mixture (63). Therefore, insulin mixtures such as 75/25, 70/30, or 50/50 insulins are not routinely recommended for inhospital use. Data on the use of glargine U-300 and degludec U-100 or U-200 in the inpatient and perioperative settings are limited."
"critical-review","2. Diagnosis and Classification of DM","2.26b","B","16","Pregnancy and childbearing; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/2. Diagnosis and Classification of DM.pdf","Before 15 weeks of gestation, screen for abnormal glucose metabolism to identify individuals who are at higher risk of adverse pregnancy and neonatal outcomes, are more likely to need insulin, and are at high risk of a later gestational diabetes mellitus (GDM) diagnosis."
"critical-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.19","B","13","CKD and renal dosing; Cardiovascular disease and BP/lipids; Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","In men with diabetes or prediabetes, screen for ED, particularly in those with high cardiovascular risk, retinopathy, cardiovascular disease, chronic kidney disease, peripheral or autonomic neuropathy, longer duration of diabetes, depression, and hypogonadism, and in those who are not meeting glycemic goals."
"critical-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.26","E","6","Acute emergency risk; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Regardless of diabetes classification, individuals treated with sodium–glucose cotransporter 2 inhibitors should avoid a ketogenic eating pattern, be educated on the signs of ketoacidosis and methods of risk mitigation and provided with appropriate tools for accurate ketone measurement (i.e., serum b-hydroxybutyrate), and be instructed to avoid fasting and maintain appropriate insulin therapy."
"critical-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.26","A","9","Acute emergency risk; Children and adolescents; Insulin or high-risk glucose-lowering medication; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","AID systems should be the preferred insulin delivery method to improve glycemic outcomes and reduce hypoglycemia and disparities in youth and adults with type 1 diabetes A and other types of insulin-deficient diabetes E who are capable of using the device (either by themselves or with a caregiver). Choice of an AID system should be made based on the individual’s circumstances, preferences, and needs."
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.10","A","7","Acute emergency risk; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","In adults with type 2 diabetes and established or high risk of atherosclerotic cardiovascular disease, the treatment plan should include medications with demonstrated benefits to reduce cardiovascular events (e.g., glucagon-like peptide 1 receptor agonist [GLP-1 RA] and/or sodium–glucose cotransporter 2 [SGLT2] inhibitor) for glycemic management and comprehensive cardiovascular risk reduction (irrespective of A1C) (Fig. 9.3 and Table 9.2)."
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.13","A","7","CKD and renal dosing; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","In adults with type 2 diabetes who have CKD (with confirmed estimated glomerular filtration rate [eGFR] 20–60 mL/min/1.73 m2 and/or albuminuria), an SGLT2 inhibitor or GLP-1 RA with demonstrated benefit in this population should be used for both glycemic management (irrespective of A1C) and for slowing progression of CKD and reduction in cardiovascular events (Fig. 9.3). The glycemic benefits of SGLT2 inhibitors are reduced at eGFR <45 mL/min/1.73 m2 ."
"critical-review","14. Children and Adolescents","14.18","B","7","Acute emergency risk; Children and adolescents; Contraindications, warnings, and adverse effects; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","All youth with type 1 diabetes should monitor glucose levels multiple times daily (up to 10 times/day by blood glucose meter or CGM), including prior to meals and snacks, at bedtime, and as needed for safety in specific situations such as physical activity, driving, or the presence of symptoms of hypoglycemia."
"critical-review","14. Children and Adolescents","14.36","B","9","Pregnancy and childbearing; Children and adolescents; Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","After excluding other causes, in addition to lifestyle modification, ACE inhibitors or angiotensin receptor blockers should be started for treatment of confirmed hypertension (defined as blood pressure consistently ≥95th percentile for age, sex, and height or, in adolescents aged ≥13 years, ≥130/80 mmHg). Due to the potential teratogenic effects, individuals of childbearing age should receive reproductive counseling, and ACE inhibitors and angiotensin receptor blockers should be avoided in individuals of childbearing age who are not using reliable contraception."
"critical-review","14. Children and Adolescents","14.41","B","9","Pregnancy and childbearing; Children and adolescents; Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Consider age-approved statins, in addition to MNT and lifestyle changes, for youth with type 1 diabetes who have LDL cholesterol ≥130 mg/dL (≥3.4 mmol/L). E Individuals of childbearing age should receive reproductive counseling, and lipid-lowering medications should be avoided in most individuals of childbearing age who are not using reliable contraception."
"critical-review","14. Children and Adolescents","14.74","B","14","Pregnancy and childbearing; Children and adolescents; Cardiovascular disease and BP/lipids; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","In addition to lifestyle modification, ACE inhibitors or angiotensin receptor blockers should be started for treatment of confirmed hypertension (defined as blood pressure consistently ≥95th percentile for age, sex, and height or, in adolescents aged ≥13 years, ≥130/80 mmHg). Due to the potential teratogenic effects, individuals of childbearing age should receive reproductive counseling, and ACE inhibitors and angiotensin receptor blockers should be avoided in individuals of childbearing age who are not using reliable contraception."
"critical-review","4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025","4.14","A","11","Acute emergency risk; Insulin or high-risk glucose-lowering medication; Older adults, frailty, and deintensification; Diagnosis, screening, or numeric thresholds","very-long","guidelines-sources/ADA/2025/4. Comprehensive Medical Evaluation and Assessment of Comorbidities Standards of Care in Diabetes2025.pdf","In the presence of cognitive impairment, diabetes treatment plans should be simplified as much as possible and tailored to minimize the risk of hypoglycemia. B Diabetes is associated with a significantly increased risk and rate of cognitive decline and an increased risk of dementia (104). A meta-analysis of prospective observational studies found that individuals with diabetes had a 43% higher risk of all types of dementia, a 43% higher risk of Alzheimer dementia, and a 91% higher risk of vascular dementia compared with individuals without diabetes (104). The reverse is also true: people with Alzheimer dementia are more likely to develop diabetes than people without Alzheimer dementia. In a 15-year prospective study of community-dwelling people >60 years of age, the presence of diabetes at baseline significantly increased the age-and sex-adjusted incidence of all-cause dementia, Alzheimer dementia, and vascular dementia compared with rates in those with normal glucose tolerance (105). A new clinical entity of diabetes-related dementia is being recognized as distinct from Alzheimer dementia or vascular dementia. It is characterized by slow progression of dementia, absence of typical neuroimaging findings seen in Alzheimer or vascular dementia, old age, high A1C levels, long duration of diabetes, high frequency of insulin use, frailty, and sarcopenia or dynapenia (106). See Section 13, “Older Adults,” for a more detailed discussion regarding assessment of cognitive impairment. Glycemic Status and Cognition In individuals with diabetes, higher A1C level is associated with lower cognitive function (107)."
"critical-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.19","A","8","Acute emergency risk; Children and adolescents; Older adults, frailty, and deintensification; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","Regularly assess cognitive function; if impaired or declining cognition is found, the clinician, person with diabetes, and caregiver should increase vigilance for hypoglycemia. B Hypoglycemia Definitions and Event Rates Hypoglycemia is often the major limiting factor in the glycemic management of type 1 and type 2 diabetes. Recommendations regarding the classification of hypoglycemia are outlined in Table 6.4 (72). Level 1 hypoglycemia is defined as a measurable glucose concentration <70 mg/dL (<3.9 mmol/L) and ≥54 mg/dL (≥3.0 mmol/L)."
"critical-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.17","A","4","Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects; Therapy substitution, access, or affordability; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","In people with diabetes on insulin therapy, rtCGM devices should be used as close to daily as possible for maximal benefit. A isCGM devices should be scanned frequently, at minimum once every 8 h, to avoid gaps in data. A People with diabetes should have uninterrupted access to their supplies to minimize gaps in CGM."
"critical-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.32","C","13","Acute emergency risk; Insulin or high-risk glucose-lowering medication; Therapy substitution, access, or affordability; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","Continue use of insulin pump or AIDinpeoplewithdiabeteswhoarehospitalized when clinically appropriate, with confirmatory point-of-care blood glucose measurements for insulin dose decisions and hypoglycemia assessment and treatment. This is contingent upon availability of necessary supplies, resources, and training, ongoing competency assessments, and implementation of institutional diabetes technology protocols."
"critical-review","13. Older Adults","13.2","B","1","Acute emergency risk; Contraindications, warnings, and adverse effects; Older adults, frailty, and deintensification; Diagnosis, screening, or numeric thresholds","","guidelines-sources/ADA/2025/13. Older Adults.pdf","Screen at least annually for geriatric syndromes (e.g., cognitive impairment, depression, urinary incontinence, falls, persistent pain, and frailty), hypoglycemia, and polypharmacy in older adults with diabetes, as they may affect diabetes management and diminish quality of life."
"critical-review","13. Older Adults","13.6","B","3","Acute emergency risk; Insulin or high-risk glucose-lowering medication; Older adults, frailty, and deintensification; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/13. Older Adults.pdf","Offer CGM for older adults with type 2 diabetes on insulin therapy to improve glycemic outcomes and reduce hypoglycemia."
"critical-review","16. Diabetes Care in the Hospital","16.7","C","3","Acute emergency risk; Insulin or high-risk glucose-lowering medication; Therapy substitution, access, or affordability; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/16. Diabetes Care in the Hospital.pdf","Continue use of insulin pump or automated insulin delivery in people with diabetes who are hospitalized when clinically appropriate, with confirmatory POC blood glucose measurements for insulin dosing decisions and hypoglycemia assessment and treatment. This is contingent upon availability of necessary supplies, resources, and training, ongoing competency assessments, and implementation of institutional diabetes technology protocols."
"critical-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.3c","B","3","Acute emergency risk; Older adults, frailty, and deintensification; Diagnosis, screening, or numeric thresholds; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","A goal percent time <70 mg/dL (<3.9 mmol/L) of <4% (or <1% for older adults) and a goal percent time <54 mg/dL (<3.0 mmol/L) of <1% are recommended in people using CGM to prevent hypoglycemia. Deintensify or modify therapy if these goals are not met."
"critical-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.6","E","2","Insulin or high-risk glucose-lowering medication; Diagnosis, screening, or numeric thresholds; Therapy substitution, access, or affordability; Procedures, surgery, technology, or devices","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","People with diabetes who have been using CGM, continuous subcutaneous insulin infusion (CSII), and/or automated insulin delivery (AID) for diabetes management should have continued access across third-party payors, regardless of age or A1C levels."
"critical-review","10. Cardiovascular Disease and Risk Management","10.48","A","17","Acute emergency risk; Cardiovascular disease and BP/lipids; Contraindications, warnings, and adverse effects","very-long","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Individuals with type 1 diabetes and those with type 2 diabetes who are ketosis prone and/or follow a ketogenic eating pattern who are treated with SGLT inhibition should be educated on the risks and signs of ketoacidosis and methods of risk management and provided with appropriate tools for accurate ketone measurement (i.e., serum b-hydroxybutyrate). E Cardiac Testing Candidates for advanced or invasive cardiac testing include those with 1) symptoms or signs of cardiac or vascular disease and 2) an abnormal resting electrocardiogram (ECG). Exercise ECG testing without or with echocardiography may be used as the initial test. In adults with diabetes ≥40 years of age, measurement of coronary artery calcium is also reasonable for cardiovascular risk assessment. Pharmacologic stress echocardiography or nuclear imaging should be considered in individuals with diabetes in whom resting ECG abnormalities preclude exercise stress testing (e.g., left bundle branch block or ST-T abnormalities). In addition, individuals who require stress testing and are unable to exercise should undergo pharmacologic stress echocardiography or nuclear imaging. Screening Asymptomatic Individuals for Atherosclerotic Cardiovascular Disease The screening of asymptomatic individuals with high ASCVD risk is not recommended (Fig. 10.5), in part because these high-risk people should already be receiving intensive medical therapy—an approach that provides benefits similar to those of invasive revascularization (208,209)."
"critical-review","3. Prevention or Delay of Diabetes and Associated Comorbidities Standards of Care in Diabetes—2025","3.11","C","5","Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/3. Prevention or Delay of Diabetes and Associated Comorbidities Standards of Care in Diabetes—2025.pdf","In people with a history of stroke and evidence of insulin resistance and prediabetes, pioglitazone may be considered to lower the risk of stroke or myocardial infarction. However, this benefit needs to be balanced with the increased risk of weight gain, edema, and fractures. A Lower doses may mitigate the risk of adverse effects but may be less effective."
"critical-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.28","B","6","Acute emergency risk; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","When using fixed insulin doses, individuals should be provided with education about consistent patterns of carbohydrate intake with respect to time and amount while considering the insulin action time, as it can result in improved glycemia and reduce the risk for hypoglycemia. B Proteins 5.29 People with diabetes and those at risk for diabetes are advised to incorporate more plant-based protein sources (e.g., nuts, seeds, and legumes) as part of an overall diverse eating pattern to reduce cardiovascular disease risk."
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.5","B","1","Acute emergency risk; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","To improve glycemic outcomes and quality of life and to minimize hypoglycemia risk, most adults with type 1 diabetes should receive education on how to match mealtime insulin doses to carbohydrate intake and fat and protein intake. They should also be taught how to modify the insulin dose (correction dose) based on concurrent glycemia, glycemic trends (if available), sick-day management, and anticipated physical activity."
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.19","A","8","Acute emergency risk; CKD and renal dosing; Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Choice of glucose-lowering therapy modification should take into consideration individualized glycemic and weight goals, presence of comorbidities (cardiovascular, kidney, liver, and other metabolic comorbidities), and the risk of hypoglycemia."
"critical-review","9. Pharmacologic Approaches to Glycemic Treatment","9.26","A","8","CKD and renal dosing; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","In adults with type 2 diabetes who are initiating insulin therapy, continue glucose-lowering agents (unless contraindicated or not tolerated) for ongoing glycemic and metabolic benefits (i.e., weight, cardiometabolic, or kidney benefits)."
"critical-review","10. Cardiovascular Disease and Risk Management","10.42b","A","16","Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In people with type 2 diabetes and established ASCVD or multiple risk factors for ASCVD, a GLP-1 RA with demonstrated car-diovascular benefit is recommended to reduce the risk of major adverse cardiovascular events."
"critical-review","10. Cardiovascular Disease and Risk Management","10.43b","A","17","Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication; Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In people with type 2 diabetes and established heart failure with either preserved or reduced ejection fraction, an SGLT2 inhibitor with proven benefit in this population is recommended to improve symptoms, physical limitations, and quality of life."
"critical-review","10. Cardiovascular Disease and Risk Management","10.46e","A","17","Acute emergency risk; CKD and renal dosing; Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In individuals with type 2 diabetes and CKD, recommend treatment with a nonsteroidal MRA with demonstrated benefit to reduce the risk of hospitalization for heart failure."
"critical-review","10. Cardiovascular Disease and Risk Management","10.47","B","17","CKD and renal dosing; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In people with type 2 diabetes with stable heart failure, metformin may be continued for glucose lowering if estimated glomerular filtration rate remains >30 mL/min/1.73 m2 but should be avoided in unstable or hospitalized individuals with heart failure."
"critical-review","11. Chronic Kidney Disease and Risk Management","11.4c","A","2","CKD and renal dosing; Cardiovascular disease and BP/lipids; Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","An ACE inhibitor or an ARB is not recommended for the primary prevention of CKD in people with diabetes who have normal blood pressure, normal UACR (<30 mg/g creatinine), and normal eGFR."
"critical-review","11. Chronic Kidney Disease and Risk Management","11.5a","A","2","CKD and renal dosing; Cardiovascular disease and BP/lipids; Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","For people with type 2 diabetes and CKD, use of a sodium–glucose cotransporter 2 (SGLT2) inhibitor with demonstrated benefit is recommended to reduce CKD progression and cardiovascular events in individuals with eGFR ≥20 mL/min/1.73 m2 ."
"critical-review","11. Chronic Kidney Disease and Risk Management","11.5b","A","2","Acute emergency risk; CKD and renal dosing; Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","To reduce cardiovascular risk and kidney disease progression in people with type 2 diabetes and CKD, a glucagon-like peptide 1 agonist with demonstrated benefit in this population is recommended."
"critical-review","14. Children and Adolescents","14.66","A","12","Acute emergency risk; Children and adolescents; Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","If glycemic goals are no longer met with metformin (with or without long-acting insulin), glucagon-like peptide 1 (GLP-1) receptor agonist therapy and/or empagliflozin should be considered in children 10 years of age or older."
